cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;total_obitos;obitos_mal_definidas;PROP_MAL_DEFINIDAS;TX_MAL_DEFINIDAS_P10K;ANO
170025;1700251;Abreulândia;TO;2021;2609;Original;15;0;0.0;0.0;2021
170030;1700301;Aguiarnópolis;TO;2021;7049;Original;32;0;0.0;0.0;2021
170035;1700350;Aliança do Tocantins;TO;2021;5303;Original;66;4;6.0606060606060606;7.542900245144257;2021
170040;1700400;Almas;TO;2021;6905;Original;39;3;7.6923076923076925;4.344677769732079;2021
170070;1700707;Alvorada;TO;2021;8381;Original;86;0;0.0;0.0;2021
170100;1701002;Ananás;TO;2021;9435;Original;70;0;0.0;0.0;2021
170105;1701051;Angico;TO;2021;3475;Original;29;0;0.0;0.0;2021
170110;1701101;Aparecida do Rio Negro;TO;2021;4901;Original;39;1;2.564102564102564;2.0403999183840034;2021
170130;1701309;Aragominas;TO;2021;5705;Original;26;0;0.0;0.0;2021
170190;1701903;Araguacema;TO;2021;7223;Original;56;1;1.7857142857142856;1.3844662882458814;2021
170200;1702000;Araguaçu;TO;2021;8418;Original;60;2;3.3333333333333335;2.3758612497030174;2021
170210;1702109;Araguaína;TO;2021;186245;Original;1281;10;0.78064012490242;0.5369271658299551;2021
170215;1702158;Araguanã;TO;2021;5856;Original;36;1;2.7777777777777777;1.7076502732240437;2021
170220;1702208;Araguatins;TO;2021;36573;Original;249;8;3.2128514056224895;2.1874060098980124;2021
170230;1702307;Arapoema;TO;2021;6590;Original;48;1;2.083333333333333;1.5174506828528074;2021
170240;1702406;Arraias;TO;2021;10502;Original;87;8;9.195402298850574;7.617596648257475;2021
170255;1702554;Augustinópolis;TO;2021;18870;Original;139;1;0.7194244604316548;0.5299417064122947;2021
170270;1702703;Aurora do Tocantins;TO;2021;3809;Original;33;2;6.0606060606060606;5.250721974271463;2021
170290;1702901;Axixá do Tocantins;TO;2021;9817;Original;99;4;4.040404040404041;4.074564530915758;2021
170300;1703008;Babaçulândia;TO;2021;10668;Original;54;1;1.8518518518518516;0.9373828271466067;2021
170305;1703057;Bandeirantes do Tocantins;TO;2021;3631;Original;24;0;0.0;0.0;2021
170307;1703073;Barra do Ouro;TO;2021;4673;Original;38;12;31.57894736842105;25.679435052428843;2021
170310;1703107;Barrolândia;TO;2021;5669;Original;66;1;1.5151515151515151;1.763979537837361;2021
170320;1703206;Bernardo Sayão;TO;2021;4439;Original;38;3;7.894736842105263;6.758278891642261;2021
170330;1703305;Bom Jesus do Tocantins;TO;2021;5120;Original;22;0;0.0;0.0;2021
170360;1703602;Brasilândia do Tocantins;TO;2021;2221;Original;21;0;0.0;0.0;2021
170370;1703701;Brejinho de Nazaré;TO;2021;5540;Original;48;0;0.0;0.0;2021
170380;1703800;Buriti do Tocantins;TO;2021;11644;Original;77;0;0.0;0.0;2021
170382;1703826;Cachoeirinha;TO;2021;2293;Original;15;0;0.0;0.0;2021
170384;1703842;Campos Lindos;TO;2021;10505;Original;57;0;0.0;0.0;2021
170386;1703867;Cariri do Tocantins;TO;2021;4499;Original;29;1;3.4482758620689653;2.222716159146477;2021
170388;1703883;Carmolândia;TO;2021;2627;Original;21;0;0.0;0.0;2021
170389;1703891;Carrasco Bonito;TO;2021;4165;Original;33;3;9.090909090909092;7.202881152460984;2021
170390;1703909;Caseara;TO;2021;5514;Original;48;0;0.0;0.0;2021
170410;1704105;Centenário;TO;2021;2966;Original;12;0;0.0;0.0;2021
170460;1704600;Chapada de Areia;TO;2021;1415;Original;11;0;0.0;0.0;2021
170510;1705102;Chapada da Natividade;TO;2021;3330;Original;26;0;0.0;0.0;2021
170550;1705508;Colinas do Tocantins;TO;2021;36271;Original;339;3;0.8849557522123894;0.8271070552231811;2021
170555;1705557;Combinado;TO;2021;4870;Original;44;0;0.0;0.0;2021
170560;1705607;Conceição do Tocantins;TO;2021;4070;Original;36;3;8.333333333333332;7.371007371007371;2021
170600;1706001;Couto Magalhães;TO;2021;5690;Original;33;1;3.0303030303030303;1.7574692442882252;2021
170610;1706100;Cristalândia;TO;2021;7268;Original;75;4;5.333333333333334;5.5035773252614195;2021
170625;1706258;Crixás do Tocantins;TO;2021;1749;Original;11;0;0.0;0.0;2021
170650;1706506;Darcinópolis;TO;2021;6250;Original;42;0;0.0;0.0;2021
170700;1707009;Dianópolis;TO;2021;22704;Original;142;0;0.0;0.0;2021
170710;1707108;Divinópolis do Tocantins;TO;2021;6986;Original;62;0;0.0;0.0;2021
170720;1707207;Dois Irmãos do Tocantins;TO;2021;7173;Original;49;0;0.0;0.0;2021
170730;1707306;Dueré;TO;2021;4686;Original;33;2;6.0606060606060606;4.2680324370465215;2021
170740;1707405;Esperantina;TO;2021;11280;Original;64;6;9.375;5.319148936170213;2021
170755;1707553;Fátima;TO;2021;3824;Original;30;0;0.0;0.0;2021
170765;1707652;Figueirópolis;TO;2021;5222;Original;44;5;11.363636363636363;9.574875526618154;2021
170770;1707702;Filadélfia;TO;2021;8892;Original;60;0;0.0;0.0;2021
170820;1708205;Formoso do Araguaia;TO;2021;18358;Original;151;2;1.3245033112582782;1.0894432944765227;2021
170825;1708254;Tabocão;TO;2021;2615;Original;27;1;3.7037037037037033;3.8240917782026767;2021
170830;1708304;Goianorte;TO;2021;5136;Original;43;5;11.627906976744185;9.735202492211839;2021
170900;1709005;Goiatins;TO;2021;13169;Original;95;2;2.1052631578947367;1.518718201837649;2021
170930;1709302;Guaraí;TO;2021;26403;Original;222;5;2.2522522522522523;1.8937241980078023;2021
170950;1709500;Gurupi;TO;2021;88428;Original;751;10;1.3315579227696404;1.1308635273895147;2021
170980;1709807;Ipueiras;TO;2021;2088;Original;14;0;0.0;0.0;2021
171050;1710508;Itacajá;TO;2021;7471;Original;62;1;1.6129032258064515;1.3385089010841922;2021
171070;1710706;Itaguatins;TO;2021;5801;Original;54;2;3.7037037037037033;3.4476814342354767;2021
171090;1710904;Itapiratins;TO;2021;3814;Original;34;0;0.0;0.0;2021
171110;1711100;Itaporã do Tocantins;TO;2021;2412;Original;13;0;0.0;0.0;2021
171150;1711506;Jaú do Tocantins;TO;2021;3906;Original;27;0;0.0;0.0;2021
171180;1711803;Juarina;TO;2021;2174;Original;20;0;0.0;0.0;2021
171190;1711902;Lagoa da Confusão;TO;2021;13989;Original;88;1;1.1363636363636365;0.714847380084352;2021
171195;1711951;Lagoa do Tocantins;TO;2021;4470;Original;30;0;0.0;0.0;2021
171200;1712009;Lajeado;TO;2021;3199;Original;24;2;8.333333333333332;6.251953735542356;2021
171215;1712157;Lavandeira;TO;2021;1984;Original;11;1;9.090909090909092;5.040322580645161;2021
171240;1712405;Lizarda;TO;2021;3727;Original;23;2;8.695652173913043;5.3662463107056615;2021
171245;1712454;Luzinópolis;TO;2021;3200;Original;17;0;0.0;0.0;2021
171250;1712504;Marianópolis do Tocantins;TO;2021;5332;Original;35;2;5.714285714285714;3.7509377344336086;2021
