cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;total_nascimentos;prenatal_7mais;COBERTURA_PRENATAL;ANO
170025;1700251;Abreulândia;TO;2021;2609;Original;30;17;56.666666666666664;2021
170030;1700301;Aguiarnópolis;TO;2021;7049;Original;91;71;78.02197802197803;2021
170035;1700350;Aliança do Tocantins;TO;2021;5303;Original;67;52;77.61194029850746;2021
170040;1700400;Almas;TO;2021;6905;Original;123;74;60.16260162601627;2021
170070;1700707;Alvorada;TO;2021;8381;Original;133;100;75.18796992481202;2021
170100;1701002;Ananás;TO;2021;9435;Original;156;110;70.51282051282051;2021
170105;1701051;Angico;TO;2021;3475;Original;33;26;78.78787878787878;2021
170110;1701101;Aparecida do Rio Negro;TO;2021;4901;Original;72;62;86.11111111111111;2021
170130;1701309;Aragominas;TO;2021;5705;Original;64;46;71.875;2021
170190;1701903;Araguacema;TO;2021;7223;Original;93;72;77.41935483870968;2021
170200;1702000;Araguaçu;TO;2021;8418;Original;94;66;70.2127659574468;2021
170210;1702109;Araguaína;TO;2021;186245;Original;3050;2121;69.54098360655738;2021
170215;1702158;Araguanã;TO;2021;5856;Original;64;41;64.0625;2021
170220;1702208;Araguatins;TO;2021;36573;Original;459;346;75.38126361655773;2021
170230;1702307;Arapoema;TO;2021;6590;Original;92;83;90.21739130434783;2021
170240;1702406;Arraias;TO;2021;10502;Original;137;82;59.854014598540154;2021
170255;1702554;Augustinópolis;TO;2021;18870;Original;300;213;71.0;2021
170270;1702703;Aurora do Tocantins;TO;2021;3809;Original;29;17;58.620689655172406;2021
170290;1702901;Axixá do Tocantins;TO;2021;9817;Original;198;110;55.55555555555556;2021
170300;1703008;Babaçulândia;TO;2021;10668;Original;92;57;61.95652173913043;2021
170305;1703057;Bandeirantes do Tocantins;TO;2021;3631;Original;57;48;84.21052631578947;2021
170307;1703073;Barra do Ouro;TO;2021;4673;Original;94;48;51.06382978723404;2021
170310;1703107;Barrolândia;TO;2021;5669;Original;61;32;52.459016393442624;2021
170320;1703206;Bernardo Sayão;TO;2021;4439;Original;51;39;76.47058823529412;2021
170330;1703305;Bom Jesus do Tocantins;TO;2021;5120;Original;73;49;67.12328767123287;2021
170360;1703602;Brasilândia do Tocantins;TO;2021;2221;Original;30;20;66.66666666666666;2021
170370;1703701;Brejinho de Nazaré;TO;2021;5540;Original;60;46;76.66666666666667;2021
170380;1703800;Buriti do Tocantins;TO;2021;11644;Original;146;105;71.91780821917808;2021
170382;1703826;Cachoeirinha;TO;2021;2293;Original;33;26;78.78787878787878;2021
170384;1703842;Campos Lindos;TO;2021;10505;Original;170;133;78.23529411764706;2021
170386;1703867;Cariri do Tocantins;TO;2021;4499;Original;54;45;83.33333333333334;2021
170388;1703883;Carmolândia;TO;2021;2627;Original;36;23;63.888888888888886;2021
170389;1703891;Carrasco Bonito;TO;2021;4165;Original;55;34;61.81818181818181;2021
