cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;populacao;n_internacoes;DOENCAS_CRONICAS;ANO
170025;1700251;Abreulândia;TO;2576;1;3.881987577639751;2021
170030;1700301;Aguiarnópolis;TO;4497;6;13.3422281521014;2021
170035;1700350;Aliança do Tocantins;TO;5147;9;17.485914124732854;2021
170040;1700400;Almas;TO;6499;3;4.616094783812894;2021
170070;1700707;Alvorada;TO;8802;14;15.905476028175414;2021
170100;1701002;Ananás;TO;10325;15;14.527845036319611;2021
170105;1701051;Angico;TO;2876;1;3.477051460361613;2021
170110;1701101;Aparecida do Rio Negro;TO;4856;2;4.118616144975288;2021
170130;1701309;Aragominas;TO;5290;4;7.561436672967864;2021
170190;1701903;Araguacema;TO;5927;41;69.17496203813059;2021
170200;1702000;Araguaçu;TO;8133;34;41.804992007869174;2021
170210;1702109;Araguaína;TO;171301;169;9.865675039842149;2021
170215;1702158;Araguanã;TO;4310;14;32.48259860788863;2021
170220;1702208;Araguatins;TO;31918;44;13.785324895043548;2021
170230;1702307;Arapoema;TO;5550;19;34.234234234234236;2021
170240;1702406;Arraias;TO;10287;33;32.079323417906096;2021
170255;1702554;Augustinópolis;TO;17484;21;12.010981468771448;2021
170270;1702703;Aurora do Tocantins;TO;3342;5;14.961101137043686;2021
170290;1702901;Axixá do Tocantins;TO;10262;17;16.565971545507697;2021
170300;1703008;Babaçulândia;TO;7880;8;10.152284263959391;2021
170305;1703057;Bandeirantes do Tocantins;TO;3407;4;11.74053419430584;2021
170307;1703073;Barra do Ouro;TO;4476;3;6.702412868632708;2021
170310;1703107;Barrolândia;TO;4846;6;12.381345439537762;2021
170320;1703206;Bernardo Sayão;TO;4229;7;16.55237644833294;2021
170330;1703305;Bom Jesus do Tocantins;TO;4038;12;29.717682020802375;2021
170360;1703602;Brasilândia do Tocantins;TO;1974;1;5.065856129685917;2021
170370;1703701;Brejinho de Nazaré;TO;4725;3;6.349206349206349;2021
170380;1703800;Buriti do Tocantins;TO;10307;5;4.851072086931212;2021
170382;1703826;Cachoeirinha;TO;1961;2;10.198878123406425;2021
170384;1703842;Campos Lindos;TO;8653;0;0.0;2021
170386;1703867;Cariri do Tocantins;TO;4007;2;4.991265285749938;2021
170388;1703883;Carmolândia;TO;2201;1;4.543389368468878;2021
170389;1703891;Carrasco Bonito;TO;3318;7;21.09704641350211;2021
170390;1703909;Caseara;TO;4847;4;8.252527336496803;2021
170410;1704105;Centenário;TO;2131;3;14.077897700610043;2021
170460;1704600;Chapada de Areia;TO;1501;1;6.662225183211192;2021
170510;1705102;Chapada da Natividade;TO;3117;3;9.624639076034649;2021
170550;1705508;Colinas do Tocantins;TO;34233;55;16.06636870855607;2021
170555;1705557;Combinado;TO;4756;2;4.205214465937763;2021
170560;1705607;Conceição do Tocantins;TO;3887;3;7.718034473887317;2021
170600;1706001;Couto Magalhães;TO;5331;1;1.8758206715438004;2021
170610;1706100;Cristalândia;TO;6371;7;10.987286140323341;2021
170625;1706258;Crixás do Tocantins;TO;1470;0;0.0;2021
170650;1706506;Darcinópolis;TO;5827;5;8.58074480864939;2021
170700;1707009;Dianópolis;TO;17739;18;10.147133434804667;2021
170710;1707108;Divinópolis do Tocantins;TO;7024;25;35.59225512528474;2021
170720;1707207;Dois Irmãos do Tocantins;TO;6327;2;3.1610557926347402;2021
170730;1707306;Dueré;TO;4248;2;4.708097928436911;2021
170740;1707405;Esperantina;TO;7530;2;2.6560424966799467;2021
170755;1707553;Fátima;TO;3467;4;11.537352177675222;2021
170765;1707652;Figueirópolis;TO;5211;2;3.8380349261178273;2021
170770;1707702;Filadélfia;TO;7712;9;11.6701244813278;2021
170820;1708205;Formoso do Araguaia;TO;18881;23;12.181558180181133;2021
170825;1708254;Tabocão;TO;3455;0;0.0;2021
170830;1708304;Goianorte;TO;4738;0;0.0;2021
170900;1709005;Goiatins;TO;12433;12;9.651733290436741;2021
170930;1709302;Guaraí;TO;24775;21;8.476286579212918;2021
170950;1709500;Gurupi;TO;85125;58;6.813509544787078;2021
170980;1709807;Ipueiras;TO;1590;2;12.578616352201257;2021
171050;1710508;Itacajá;TO;6819;6;8.798944126704797;2021
171070;1710706;Itaguatins;TO;5172;3;5.800464037122969;2021
171090;1710904;Itapiratins;TO;3577;3;8.386916410399776;2021
171110;1711100;Itaporã do Tocantins;TO;2404;1;4.159733777038269;2021
171150;1711506;Jaú do Tocantins;TO;3334;2;5.9988002399520095;2021
171180;1711803;Juarina;TO;2243;1;4.458314757021846;2021
171190;1711902;Lagoa da Confusão;TO;15288;3;1.9623233908948197;2021
171195;1711951;Lagoa do Tocantins;TO;3516;3;8.532423208191126;2021
171200;1712009;Lajeado;TO;3357;7;20.85195114685731;2021
171215;1712157;Lavandeira;TO;1626;1;6.150061500615006;2021
171240;1712405;Lizarda;TO;2999;2;6.668889629876625;2021
171245;1712454;Luzinópolis;TO;2717;1;3.68052999631947;2021
171250;1712504;Marianópolis do Tocantins;TO;4615;2;4.333694474539545;2021
171270;1712702;Mateiros;TO;2748;3;10.91703056768559;2021
171280;1712801;Maurilândia do Tocantins;TO;3095;0;0.0;2021
171320;1713205;Miracema do Tocantins;TO;18566;29;15.619950447053755;2021
171330;1713304;Miranorte;TO;12701;13;10.235414534288639;2021
171360;1713601;Monte do Carmo;TO;5694;9;15.806111696522656;2021
171370;1713700;Monte Santo do Tocantins;TO;2396;3;12.520868113522537;2021
171380;1713809;Palmeiras do Tocantins;TO;4872;5;10.262725779967159;2021
171395;1713957;Muricilândia;TO;3367;0;0.0;2021
171420;1714203;Natividade;TO;8754;10;11.42334932602239;2021
171430;1714302;Nazaré;TO;4521;4;8.847600088476002;2021
171488;1714880;Nova Olinda;TO;10367;4;3.8583968361145944;2021
171500;1715002;Nova Rosalândia;TO;3362;2;5.94883997620464;2021
171510;1715101;Novo Acordo;TO;3969;6;15.117157974300833;2021
171515;1715150;Novo Alegre;TO;1846;4;21.668472372697725;2021
171525;1715259;Novo Jardim;TO;2230;4;17.937219730941703;2021
171550;1715507;Oliveira de Fátima;TO;1164;0;0.0;2021
171570;1715705;Palmeirante;TO;4798;6;12.505210504376823;2021
171575;1715754;Palmeirópolis;TO;6975;3;4.301075268817204;2021
171610;1716109;Paraíso do Tocantins;TO;52360;38;7.257448433919022;2021
171620;1716208;Paranã;TO;10542;22;20.868905331056727;2021
171630;1716307;Pau D'Arco;TO;4043;10;24.73410833539451;2021
171650;1716505;Pedro Afonso;TO;14055;48;34.15154749199573;2021
171660;1716604;Peixe;TO;9317;26;27.905978319201463;2021
171665;1716653;Pequizeiro;TO;4921;1;2.03210729526519;2021
171670;1716703;Colméia;TO;8941;10;11.184431271669835;2021
171700;1717008;Pindorama do Tocantins;TO;4478;5;11.165698972755694;2021
171720;1717206;Piraquê;TO;2282;2;8.76424189307625;2021
171750;1717503;Pium;TO;7128;37;51.90796857463524;2021
171780;1717800;Ponte Alta do Bom Jesus;TO;4220;9;21.327014218009477;2021
171790;1717909;Ponte Alta do Tocantins;TO;7586;3;3.9546533087266016;2021
171800;1718006;Porto Alegre do Tocantins;TO;2866;9;31.4026517794836;2021
171820;1718204;Porto Nacional;TO;64418;74;11.487472445589743;2021
171830;1718303;Praia Norte;TO;9044;2;2.2114108801415306;2021
171840;1718402;Presidente Kennedy;TO;3047;1;3.281916639317361;2021
171845;1718451;Pugmil;TO;2193;0;0.0;2021
171850;1718501;Recursolândia;TO;3421;6;17.538731365097924;2021
171855;1718550;Riachinho;TO;3960;5;12.626262626262628;2021
171865;1718659;Rio da Conceição;TO;1768;0;0.0;2021
171870;1718709;Rio dos Bois;TO;2738;0;0.0;2021
171875;1718758;Rio Sono;TO;4841;1;2.065688907250568;2021
171880;1718808;Sampaio;TO;4215;5;11.862396204033216;2021
171884;1718840;Sandolândia;TO;3723;7;18.802041364491004;2021
171886;1718865;Santa Fé do Araguaia;TO;7216;5;6.929046563192905;2021
171888;1718881;Santa Maria do Tocantins;TO;2680;8;29.850746268656717;2021
171889;1718899;Santa Rita do Tocantins;TO;2219;0;0.0;2021
171890;1718907;Santa Rosa do Tocantins;TO;4653;3;6.447453255963894;2021
171900;1719004;Santa Tereza do Tocantins;TO;2781;3;10.787486515641854;2021
172000;1720002;Santa Terezinha do Tocantins;TO;2406;1;4.156275976724855;2021
