cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;n_internacoes;DOENCAS_CRONICAS;ANO;MES
170025;1700251;Abreulândia;TO;2022;2626;Estimativa (Spline);1;3.808073115003808;2022;0
170030;1700301;Aguiarnópolis;TO;2022;6938;Estimativa (Spline);4;5.765350245027386;2022;0
170035;1700350;Aliança do Tocantins;TO;2022;5267;Estimativa (Spline);3;5.69584203531422;2022;0
170040;1700400;Almas;TO;2022;6823;Estimativa (Spline);9;13.19067858713176;2022;0
170070;1700707;Alvorada;TO;2022;8439;Estimativa (Spline);14;16.589643322668564;2022;0
170100;1701002;Ananás;TO;2022;9508;Estimativa (Spline);34;35.7593605384939;2022;0
170105;1701051;Angico;TO;2022;3440;Estimativa (Spline);0;0.0;2022;0
170110;1701101;Aparecida do Rio Negro;TO;2022;4956;Estimativa (Spline);3;6.053268765133172;2022;0
170130;1701309;Aragominas;TO;2022;5658;Estimativa (Spline);6;10.604453870625663;2022;0
170190;1701903;Araguacema;TO;2022;7168;Estimativa (Spline);42;58.59375;2022;0
170200;1702000;Araguaçu;TO;2022;8373;Estimativa (Spline);50;59.715753015645525;2022;0
170210;1702109;Araguaína;TO;2022;187955;Estimativa (Spline);212;11.27929557606874;2022;0
170215;1702158;Araguanã;TO;2022;5767;Estimativa (Spline);13;22.542049592509102;2022;0
170220;1702208;Araguatins;TO;2022;36575;Estimativa (Spline);40;10.936431989063568;2022;0
170230;1702307;Arapoema;TO;2022;6481;Estimativa (Spline);25;38.57429409041815;2022;0
170240;1702406;Arraias;TO;2022;10485;Estimativa (Spline);40;38.14973772055317;2022;0
170255;1702554;Augustinópolis;TO;2022;18974;Estimativa (Spline);22;11.594813955939708;2022;0
170270;1702703;Aurora do Tocantins;TO;2022;3794;Estimativa (Spline);3;7.907221929362151;2022;0
170290;1702901;Axixá do Tocantins;TO;2022;9919;Estimativa (Spline);11;11.089827603589072;2022;0
170300;1703008;Babaçulândia;TO;2022;10413;Estimativa (Spline);9;8.64304235090752;2022;0
170305;1703057;Bandeirantes do Tocantins;TO;2022;3652;Estimativa (Spline);8;21.90580503833516;2022;0
170307;1703073;Barra do Ouro;TO;2022;4702;Estimativa (Spline);3;6.380263717566993;2022;0
170310;1703107;Barrolândia;TO;2022;5615;Estimativa (Spline);8;14.247551202137133;2022;0
170320;1703206;Bernardo Sayão;TO;2022;4424;Estimativa (Spline);11;24.864376130198917;2022;0
170330;1703305;Bom Jesus do Tocantins;TO;2022;5117;Estimativa (Spline);10;19.542700801250735;2022;0
170360;1703602;Brasilândia do Tocantins;TO;2022;2210;Estimativa (Spline);1;4.524886877828054;2022;0
170370;1703701;Brejinho de Nazaré;TO;2022;5489;Estimativa (Spline);6;10.93095281472035;2022;0
170380;1703800;Buriti do Tocantins;TO;2022;11665;Estimativa (Spline);4;3.429061294470639;2022;0
170382;1703826;Cachoeirinha;TO;2022;2273;Estimativa (Spline);0;0.0;2022;0
170384;1703842;Campos Lindos;TO;2022;10508;Estimativa (Spline);8;7.613247049866769;2022;0
170386;1703867;Cariri do Tocantins;TO;2022;4511;Estimativa (Spline);3;6.650410108623365;2022;0
170388;1703883;Carmolândia;TO;2022;2612;Estimativa (Spline);6;22.97090352220521;2022;0
170389;1703891;Carrasco Bonito;TO;2022;4119;Estimativa (Spline);2;4.855547462976451;2022;0
170390;1703909;Caseara;TO;2022;5522;Estimativa (Spline);0;0.0;2022;0
170410;1704105;Centenário;TO;2022;2913;Estimativa (Spline);1;3.4328870580157913;2022;0
170460;1704600;Chapada de Areia;TO;2022;1433;Estimativa (Spline);1;6.978367062107466;2022;0
170510;1705102;Chapada da Natividade;TO;2022;3318;Estimativa (Spline);2;6.027727546714888;2022;0
170550;1705508;Colinas do Tocantins;TO;2022;36560;Estimativa (Spline);52;14.22319474835886;2022;0
170555;1705557;Combinado;TO;2022;4881;Estimativa (Spline);6;12.292562999385371;2022;0
170560;1705607;Conceição do Tocantins;TO;2022;4049;Estimativa (Spline);3;7.409236848604594;2022;0
170600;1706001;Couto Magalhães;TO;2022;5713;Estimativa (Spline);5;8.75196919306844;2022;0
170610;1706100;Cristalândia;TO;2022;7189;Estimativa (Spline);4;5.564056196967589;2022;0
170625;1706258;Crixás do Tocantins;TO;2022;1738;Estimativa (Spline);2;11.507479861910241;2022;0
170650;1706506;Darcinópolis;TO;2022;6289;Estimativa (Spline);15;23.85116870726666;2022;0
170700;1707009;Dianópolis;TO;2022;22493;Estimativa (Spline);21;9.33623794069266;2022;0
170710;1707108;Divinópolis do Tocantins;TO;2022;7048;Estimativa (Spline);26;36.88989784335982;2022;0
170720;1707207;Dois Irmãos do Tocantins;TO;2022;7097;Estimativa (Spline);0;0.0;2022;0
170730;1707306;Dueré;TO;2022;4654;Estimativa (Spline);2;4.297378599054577;2022;0
170740;1707405;Esperantina;TO;2022;11044;Estimativa (Spline);7;6.338283230713509;2022;0
170755;1707553;Fátima;TO;2022;3793;Estimativa (Spline);7;18.455048774057474;2022;0
170765;1707652;Figueirópolis;TO;2022;5218;Estimativa (Spline);0;0.0;2022;0
170770;1707702;Filadélfia;TO;2022;8812;Estimativa (Spline);8;9.078529278256923;2022;0
170820;1708205;Formoso do Araguaia;TO;2022;18433;Estimativa (Spline);72;39.06038083871318;2022;0
170825;1708254;Tabocão;TO;2022;2721;Estimativa (Spline);1;3.6751194413818453;2022;0
170830;1708304;Goianorte;TO;2022;5115;Estimativa (Spline);7;13.685239491691105;2022;0
170900;1709005;Goiatins;TO;2022;13195;Estimativa (Spline);7;5.305039787798408;2022;0
170930;1709302;Guaraí;TO;2022;26520;Estimativa (Spline);27;10.180995475113123;2022;0
170950;1709500;Gurupi;TO;2022;89205;Estimativa (Spline);76;8.519701810436635;2022;0
170980;1709807;Ipueiras;TO;2022;2073;Estimativa (Spline);0;0.0;2022;0
171050;1710508;Itacajá;TO;2022;7442;Estimativa (Spline);10;13.437248051599033;2022;0
171070;1710706;Itaguatins;TO;2022;5728;Estimativa (Spline);4;6.983240223463687;2022;0
171090;1710904;Itapiratins;TO;2022;3818;Estimativa (Spline);1;2.6191723415400734;2022;0
171110;1711100;Itaporã do Tocantins;TO;2022;2411;Estimativa (Spline);2;8.295313148071338;2022;0
171150;1711506;Jaú do Tocantins;TO;2022;3882;Estimativa (Spline);0;0.0;2022;0
171180;1711803;Juarina;TO;2022;2178;Estimativa (Spline);0;0.0;2022;0
171190;1711902;Lagoa da Confusão;TO;2022;14429;Estimativa (Spline);11;7.623535934576201;2022;0
171195;1711951;Lagoa do Tocantins;TO;2022;4450;Estimativa (Spline);2;4.49438202247191;2022;0
171200;1712009;Lajeado;TO;2022;3252;Estimativa (Spline);7;21.52521525215252;2022;0
171215;1712157;Lavandeira;TO;2022;1977;Estimativa (Spline);11;55.639858371269604;2022;0
171240;1712405;Lizarda;TO;2022;3658;Estimativa (Spline);2;5.4674685620557675;2022;0
171245;1712454;Luzinópolis;TO;2022;3199;Estimativa (Spline);3;9.377930603313535;2022;0
