cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;n_medicos;TAXA_MEDICOS;ANO;MES
170025;1700251;Abreulândia;TO;2021;2609;Original;1;0.3832886163280951;2021;0
170030;1700301;Aguiarnópolis;TO;2021;7049;Original;1;0.14186409419775856;2021;0
170035;1700350;Aliança do Tocantins;TO;2021;5303;Original;2;0.37714501225721286;2021;0
170040;1700400;Almas;TO;2021;6905;Original;2;0.2896451846488052;2021;0
170070;1700707;Alvorada;TO;2021;8381;Original;2;0.23863500775563776;2021;0
170100;1701002;Ananás;TO;2021;9435;Original;2;0.21197668256491786;2021;0
170105;1701051;Angico;TO;2021;3475;Original;1;0.28776978417266186;2021;0
170110;1701101;Aparecida do Rio Negro;TO;2021;4901;Original;2;0.40807998367680065;2021;0
170130;1701309;Aragominas;TO;2021;5705;Original;1;0.175284837861525;2021;0
170190;1701903;Araguacema;TO;2021;7223;Original;2;0.27689325764917627;2021;0
170200;1702000;Araguaçu;TO;2021;8418;Original;2;0.23758612497030174;2021;0
170210;1702109;Araguaína;TO;2021;186245;Original;2;0.010738543316599103;2021;0
170215;1702158;Araguanã;TO;2021;5856;Original;2;0.34153005464480873;2021;0
170220;1702208;Araguatins;TO;2021;36573;Original;2;0.054685150247450305;2021;0
170230;1702307;Arapoema;TO;2021;6590;Original;2;0.30349013657056145;2021;0
170240;1702406;Arraias;TO;2021;10502;Original;2;0.19043991620643688;2021;0
170255;1702554;Augustinópolis;TO;2021;18870;Original;2;0.10598834128245893;2021;0
170270;1702703;Aurora do Tocantins;TO;2021;3809;Original;1;0.26253609871357314;2021;0
170290;1702901;Axixá do Tocantins;TO;2021;9817;Original;2;0.2037282265457879;2021;0
170300;1703008;Babaçulândia;TO;2021;10668;Original;2;0.18747656542932134;2021;0
170305;1703057;Bandeirantes do Tocantins;TO;2021;3631;Original;2;0.550812448361333;2021;0
170307;1703073;Barra do Ouro;TO;2021;4673;Original;1;0.21399529210357374;2021;0
170310;1703107;Barrolândia;TO;2021;5669;Original;2;0.3527959075674722;2021;0
170320;1703206;Bernardo Sayão;TO;2021;4439;Original;2;0.45055192610948414;2021;0
170330;1703305;Bom Jesus do Tocantins;TO;2021;5120;Original;2;0.390625;2021;0
170360;1703602;Brasilândia do Tocantins;TO;2021;2221;Original;1;0.45024763619990993;2021;0
170370;1703701;Brejinho de Nazaré;TO;2021;5540;Original;2;0.3610108303249097;2021;0
170380;1703800;Buriti do Tocantins;TO;2021;11644;Original;2;0.17176228100309174;2021;0
170382;1703826;Cachoeirinha;TO;2021;2293;Original;1;0.4361098996947231;2021;0
170384;1703842;Campos Lindos;TO;2021;10505;Original;1;0.09519276534983341;2021;0
170386;1703867;Cariri do Tocantins;TO;2021;4499;Original;2;0.4445432318292954;2021;0
170388;1703883;Carmolândia;TO;2021;2627;Original;1;0.3806623524933384;2021;0
170389;1703891;Carrasco Bonito;TO;2021;4165;Original;2;0.48019207683073234;2021;0
170390;1703909;Caseara;TO;2021;5514;Original;1;0.18135654697134565;2021;0
170410;1704105;Centenário;TO;2021;2966;Original;2;0.6743088334457181;2021;0
170460;1704600;Chapada de Areia;TO;2021;1415;Original;1;0.7067137809187278;2021;0
170510;1705102;Chapada da Natividade;TO;2021;3330;Original;1;0.3003003003003003;2021;0
170550;1705508;Colinas do Tocantins;TO;2021;36271;Original;2;0.05514047034821207;2021;0
170555;1705557;Combinado;TO;2021;4870;Original;1;0.2053388090349076;2021;0
170560;1705607;Conceição do Tocantins;TO;2021;4070;Original;2;0.4914004914004914;2021;0
170600;1706001;Couto Magalhães;TO;2021;5690;Original;2;0.351493848857645;2021;0
170610;1706100;Cristalândia;TO;2021;7268;Original;2;0.275178866263071;2021;0
170625;1706258;Crixás do Tocantins;TO;2021;1749;Original;1;0.5717552887364208;2021;0
170650;1706506;Darcinópolis;TO;2021;6250;Original;2;0.32;2021;0
170700;1707009;Dianópolis;TO;2021;22704;Original;2;0.08809020436927414;2021;0
170710;1707108;Divinópolis do Tocantins;TO;2021;6986;Original;2;0.286286859433152;2021;0
170720;1707207;Dois Irmãos do Tocantins;TO;2021;7173;Original;2;0.2788233653980204;2021;0
170730;1707306;Dueré;TO;2021;4686;Original;2;0.42680324370465217;2021;0
170740;1707405;Esperantina;TO;2021;11280;Original;2;0.1773049645390071;2021;0
170755;1707553;Fátima;TO;2021;3824;Original;2;0.5230125523012552;2021;0
170765;1707652;Figueirópolis;TO;2021;5222;Original;2;0.38299502106472616;2021;0
170770;1707702;Filadélfia;TO;2021;8892;Original;2;0.2249212775528565;2021;0
170820;1708205;Formoso do Araguaia;TO;2021;18358;Original;2;0.10894432944765226;2021;0
170825;1708254;Tabocão;TO;2021;2615;Original;2;0.7648183556405354;2021;0
170830;1708304;Goianorte;TO;2021;5136;Original;2;0.3894080996884735;2021;0
170900;1709005;Goiatins;TO;2021;13169;Original;2;0.1518718201837649;2021;0
170930;1709302;Guaraí;TO;2021;26403;Original;2;0.07574896792031209;2021;0
170950;1709500;Gurupi;TO;2021;88428;Original;2;0.022617270547790294;2021;0
170980;1709807;Ipueiras;TO;2021;2088;Original;1;0.4789272030651341;2021;0
171050;1710508;Itacajá;TO;2021;7471;Original;2;0.26770178021683844;2021;0
171070;1710706;Itaguatins;TO;2021;5801;Original;1;0.17238407171177383;2021;0
171090;1710904;Itapiratins;TO;2021;3814;Original;2;0.5243838489774515;2021;0
171110;1711100;Itaporã do Tocantins;TO;2021;2412;Original;2;0.8291873963515755;2021;0
171150;1711506;Jaú do Tocantins;TO;2021;3906;Original;2;0.5120327700972862;2021;0
171180;1711803;Juarina;TO;2021;2174;Original;2;0.9199632014719411;2021;0
171190;1711902;Lagoa da Confusão;TO;2021;13989;Original;2;0.1429694760168704;2021;0
171195;1711951;Lagoa do Tocantins;TO;2021;4470;Original;2;0.447427293064877;2021;0
171200;1712009;Lajeado;TO;2021;3199;Original;2;0.6251953735542357;2021;0
171215;1712157;Lavandeira;TO;2021;1984;Original;2;1.0080645161290323;2021;0
171240;1712405;Lizarda;TO;2021;3727;Original;2;0.5366246310705661;2021;0
171245;1712454;Luzinópolis;TO;2021;3200;Original;2;0.625;2021;0
171250;1712504;Marianópolis do Tocantins;TO;2021;5332;Original;2;0.37509377344336087;2021;0
171270;1712702;Mateiros;TO;2021;2773;Original;2;0.721240533717995;2021;0
171280;1712801;Maurilândia do Tocantins;TO;2021;3470;Original;2;0.5763688760806917;2021;0
171320;1713205;Miracema do Tocantins;TO;2021;17628;Original;2;0.11345586566825505;2021;0
171330;1713304;Miranorte;TO;2021;13551;Original;2;0.14759058372075862;2021;0
171360;1713601;Monte do Carmo;TO;2021;8182;Original;2;0.24443901246638963;2021;0
171370;1713700;Monte Santo do Tocantins;TO;2021;2311;Original;2;0.8654262224145391;2021;0
171380;1713809;Palmeiras do Tocantins;TO;2021;6830;Original;2;0.29282576866764276;2021;0
171395;1713957;Muricilândia;TO;2021;3623;Original;2;0.5520287054926857;2021;0
171420;1714203;Natividade;TO;2021;9256;Original;2;0.21607605877268798;2021;0
171430;1714302;Nazaré;TO;2021;3772;Original;2;0.5302226935312832;2021;0
171488;1714880;Nova Olinda;TO;2021;12014;Original;2;0.166472448809722;2021;0
171500;1715002;Nova Rosalândia;TO;2021;4348;Original;2;0.45998160073597055;2021;0
171510;1715101;Novo Acordo;TO;2021;4450;Original;2;0.44943820224719105;2021;0
171515;1715150;Novo Alegre;TO;2021;2332;Original;2;0.8576329331046312;2021;0
171525;1715259;Novo Jardim;TO;2021;2768;Original;1;0.361271676300578;2021;0
171550;1715507;Oliveira de Fátima;TO;2021;1124;Original;1;0.889679715302491;2021;0
171570;1715705;Palmeirante;TO;2021;6234;Original;2;0.32082130253448826;2021;0
171575;1715754;Palmeirópolis;TO;2021;7694;Original;2;0.2599428125812321;2021;0
171610;1716109;Paraíso do Tocantins;TO;2021;52521;Original;2;0.038080006092800975;2021;0
171620;1716208;Paranã;TO;2021;10426;Original;2;0.1918281220026856;2021;0
171630;1716307;Pau D'Arco;TO;2021;4885;Original;2;0.4094165813715455;2021;0
171650;1716505;Pedro Afonso;TO;2021;13964;Original;2;0.14322543683758235;2021;0
171660;1716604;Peixe;TO;2021;11996;Original;2;0.16672224074691563;2021;0
171665;1716653;Pequizeiro;TO;2021;5546;Original;2;0.3606202668589975;2021;0
171670;1716703;Colméia;TO;2021;8078;Original;2;0.24758603614756128;2021;0
171700;1717008;Pindorama do Tocantins;TO;2021;4414;Original;2;0.45310376076121434;2021;0
171720;1717206;Piraquê;TO;2021;3038;Original;2;0.6583278472679394;2021;0
171750;1717503;Pium;TO;2021;7830;Original;2;0.2554278416347382;2021;0
171780;1717800;Ponte Alta do Bom Jesus;TO;2021;4586;Original;2;0.4361098996947231;2021;0
171790;1717909;Ponte Alta do Tocantins;TO;2021;8192;Original;2;0.244140625;2021;0
171800;1718006;Porto Alegre do Tocantins;TO;2021;3200;Original;1;0.3125;2021;0
171820;1718204;Porto Nacional;TO;2021;53618;Original;2;0.03730090641202581;2021;0
171830;1718303;Praia Norte;TO;2021;8563;Original;2;0.23356300362022656;2021;0
171840;1718402;Presidente Kennedy;TO;2021;3668;Original;2;0.5452562704471101;2021;0
