cod_mun_ibge_7;municipio;populacao;cod_mun_ibge_6
1700251;Abreulândia;2383;170025
1700301;Aguiarnópolis;7016;170030
1700350;Aliança do Tocantins;5300;170035
1700400;Almas;6912;170040
1700707;Alvorada;8088;170070
1701002;Ananás;9492;170100
1701051;Angico;3234;170105
1701101;Aparecida do Rio Negro;4723;170110
1701309;Aragominas;5144;170130
1701903;Araguacema;5833;170190
1702000;Araguaçu;7645;170200
1702109;Araguaína;171301;170210
1702158;Araguanã;6321;170215
1702208;Araguatins;31329;170220
1702307;Arapoema;6265;170230
1702406;Arraias;10271;170240
1702554;Augustinópolis;17489;170255
1702703;Aurora do Tocantins;3697;170270
1702901;Axixá do Tocantins;9330;170290
1703008;Babaçulândia;10350;170300
1703057;Bandeirantes do Tocantins;3447;170305
1703073;Barra do Ouro;4144;170307
1703107;Barrolândia;5446;170310
1703206;Bernardo Sayão;4470;170320
1703305;Bom Jesus do Tocantins;4605;170330
1703602;Brasilândia do Tocantins;2137;170360
1703701;Brejinho de Nazaré;5201;170370
1703800;Buriti do Tocantins;10332;170380
1703826;Cachoeirinha;2225;170382
1703842;Campos Lindos;10188;170384
1703867;Cariri do Tocantins;4246;170386
1703883;Carmolândia;2380;170388
1703891;Carrasco Bonito;4182;170389
1703909;Caseara;5296;170390
1704105;Centenário;2830;170410
1704600;Chapada de Areia;1377;170460
1705102;Chapada da Natividade;3237;170510
1705508;Colinas do Tocantins;34233;170550
1705557;Combinado;4590;170555
1705607;Conceição do Tocantins;4022;170560
1706001;Couto Magalhães;5299;170600
1706100;Cristalândia;7268;170610
1706258;Crixás do Tocantins;1679;170625
1706506;Darcinópolis;5630;170650
1707009;Dianópolis;20015;170700
1707108;Divinópolis do Tocantins;6970;170710
1707207;Dois Irmãos do Tocantins;7126;170720
1707306;Dueré;4373;170730
1707405;Esperantina;9898;170740
1707553;Fátima;3941;170755
1707652;Figueirópolis;5137;170765
1707702;Filadélfia;8508;170770
1708205;Formoso do Araguaia;18002;170820
1708254;Fortaleza do Tabocão;2446;170825
1708304;Goianorte;4860;170830
1709005;Goiatins;11700;170900
1709302;Guaraí;25154;170930
1709500;Gurupi;85122;170950
1709807;Ipueiras;1588;170980
1710508;Itacajá;7387;171050
1710706;Itaguatins;5796;171070
1710904;Itapiratins;3916;171090
1711100;Itaporã do Tocantins;2334;171110
1711506;Jaú do Tocantins;3661;171150
1711803;Juarina;2457;171180
1711902;Lagoa da Confusão;13164;171190
1711951;Lagoa do Tocantins;4470;171195
1712009;Lajeado;3158;171200
1712157;Lavandeira;1748;171215
1712405;Lizarda;3780;171240
1712454;Luzinópolis;2985;171245
1712504;Marianópolis do Tocantins;4936;171250
1712702;Mateiros;2910;171270
1712801;Maurilândia do Tocantins;3300;171280
1713205;Miracema do Tocantins;18039;171320
1713304;Miranorte;12629;171330
1713601;Monte do Carmo;7957;171360
1713700;Monte Santo do Tocantins;2146;171370
1713809;Palmeiras do Tocantins;6100;171380
1713957;Muricilândia;3406;171395
1714203;Natividade;8992;171420
1714302;Nazaré;2052;171430
1714880;Nova Olinda;10950;171488
1715002;Nova Rosalândia;4207;171500
1715101;Novo Acordo;3702;171510
1715150;Novo Alegre;2246;171515
1715259;Novo Jardim;2589;171525
1715507;Oliveira de Fátima;1124;171550
1715705;Palmeirante;5460;171570
1715754;Palmeirópolis;7168;171575
1716109;Paraíso do Tocantins;52360;171610
1716208;Paranã;10189;171620
1716307;Pau D'Arco;4501;171630
1716505;Pedro Afonso;13398;171650
1716604;Peixe;11520;171660
1716653;Pequizeiro;5211;171665
1716703;Colméia;8032;171670
1717008;Pindorama do Tocantins;4285;171700
1717206;Piraquê;3009;171720
1717503;Pium;7092;171750
1717800;Ponte Alta do Bom Jesus;4531;171780
1717909;Ponte Alta do Tocantins;8701;171790
1718006;Porto Alegre do Tocantins;2891;171800
1718204;Porto Nacional;53384;171820
1718303;Praia Norte;8384;171830
1718402;Presidente Kennedy;3690;171840
1718451;Pugmil;2589;171845
1718501;Recursolândia;3804;171850
1718550;Riachinho;4263;171855
1718659;Rio da Conceição;1910;171865
1718709;Rio dos Bois;2745;171870
1718758;Rio Sono;5969;171875
1718808;Sampaio;4131;171880
1718840;Sandolândia;3252;171884
1718865;Santa Fé do Araguaia;7277;171886
1718881;Santa Maria do Tocantins;3085;171888
1718899;Santa Rita do Tocantins;2024;171889
1718907;Santa Rosa do Tocantins;4768;171890
1719004;Santa Tereza do Tocantins;2299;171900
1720002;Santa Terezinha do Tocantins;2467;172000
1720101;São Bento do Tocantins;4862;172010
1720150;São Félix do Tocantins;1477;172015
1720200;São Miguel do Tocantins;11516;172020
1720259;São Salvador do Tocantins;3058;172025
1720309;São Sebastião do Tocantins;4248;172030
1720499;São Valério da Natividade;4605;172049
1720655;Silvanópolis;5305;172065
1720804;Sítio Novo do Tocantins;9148;172080
1720853;Sucupira;1843;172085
1720903;Taguatinga;15842;172090
1720937;Taipas do Tocantins;2152;172093
1720978;Talismã;2630;172097
1721000;Palmas;302692;172100
1721109;Tocantínia;7471;172110
1721208;Tocantinópolis;22616;172120
1721257;Tupirama;1858;172125
1721307;Tupiratins;1909;172130
1722081;Wanderlândia;11003;172208
1722107;Xambioá;10499;172210
