cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;total_nascimentos;partos_cesareos;PROP_CESAREOS;ANO
170025;1700251;Abreulândia;TO;2021;2609;Original;30;10;33.33333333333333;2021
170030;1700301;Aguiarnópolis;TO;2021;7049;Original;91;51;56.043956043956044;2021
170035;1700350;Aliança do Tocantins;TO;2021;5303;Original;67;44;65.67164179104478;2021
170040;1700400;Almas;TO;2021;6905;Original;123;50;40.65040650406504;2021
170070;1700707;Alvorada;TO;2021;8381;Original;133;97;72.93233082706767;2021
170100;1701002;Ananás;TO;2021;9435;Original;156;74;47.43589743589743;2021
170105;1701051;Angico;TO;2021;3475;Original;33;18;54.54545454545454;2021
170110;1701101;Aparecida do Rio Negro;TO;2021;4901;Original;72;36;50.0;2021
170130;1701309;Aragominas;TO;2021;5705;Original;64;35;54.6875;2021
170190;1701903;Araguacema;TO;2021;7223;Original;93;51;54.83870967741935;2021
170200;1702000;Araguaçu;TO;2021;8418;Original;94;63;67.02127659574468;2021
170210;1702109;Araguaína;TO;2021;186245;Original;3050;1900;62.295081967213115;2021
170215;1702158;Araguanã;TO;2021;5856;Original;64;28;43.75;2021
170220;1702208;Araguatins;TO;2021;36573;Original;459;176;38.344226579520694;2021
170230;1702307;Arapoema;TO;2021;6590;Original;92;51;55.434782608695656;2021
170240;1702406;Arraias;TO;2021;10502;Original;137;59;43.06569343065693;2021
170255;1702554;Augustinópolis;TO;2021;18870;Original;300;135;45.0;2021
170270;1702703;Aurora do Tocantins;TO;2021;3809;Original;29;11;37.93103448275862;2021
170290;1702901;Axixá do Tocantins;TO;2021;9817;Original;198;94;47.474747474747474;2021
170300;1703008;Babaçulândia;TO;2021;10668;Original;92;46;50.0;2021
170305;1703057;Bandeirantes do Tocantins;TO;2021;3631;Original;57;27;47.368421052631575;2021
170307;1703073;Barra do Ouro;TO;2021;4673;Original;94;53;56.38297872340425;2021
170310;1703107;Barrolândia;TO;2021;5669;Original;61;36;59.01639344262295;2021
170320;1703206;Bernardo Sayão;TO;2021;4439;Original;51;32;62.745098039215684;2021
170330;1703305;Bom Jesus do Tocantins;TO;2021;5120;Original;73;40;54.794520547945204;2021
170360;1703602;Brasilândia do Tocantins;TO;2021;2221;Original;30;21;70.0;2021
170370;1703701;Brejinho de Nazaré;TO;2021;5540;Original;60;27;45.0;2021
170380;1703800;Buriti do Tocantins;TO;2021;11644;Original;146;67;45.89041095890411;2021
170382;1703826;Cachoeirinha;TO;2021;2293;Original;33;18;54.54545454545454;2021
170384;1703842;Campos Lindos;TO;2021;10505;Original;170;74;43.529411764705884;2021
170386;1703867;Cariri do Tocantins;TO;2021;4499;Original;54;35;64.81481481481481;2021
170388;1703883;Carmolândia;TO;2021;2627;Original;36;23;63.888888888888886;2021
170389;1703891;Carrasco Bonito;TO;2021;4165;Original;55;19;34.54545454545455;2021
170390;1703909;Caseara;TO;2021;5514;Original;85;44;51.76470588235295;2021
170410;1704105;Centenário;TO;2021;2966;Original;25;13;52.0;2021
170460;1704600;Chapada de Areia;TO;2021;1415;Original;13;7;53.84615384615385;2021
170510;1705102;Chapada da Natividade;TO;2021;3330;Original;50;28;56.00000000000001;2021
170550;1705508;Colinas do Tocantins;TO;2021;36271;Original;591;362;61.25211505922166;2021
170555;1705557;Combinado;TO;2021;4870;Original;54;31;57.407407407407405;2021
170560;1705607;Conceição do Tocantins;TO;2021;4070;Original;58;30;51.724137931034484;2021
170600;1706001;Couto Magalhães;TO;2021;5690;Original;79;53;67.08860759493672;2021
170610;1706100;Cristalândia;TO;2021;7268;Original;76;36;47.368421052631575;2021
170625;1706258;Crixás do Tocantins;TO;2021;1749;Original;17;13;76.47058823529412;2021
170650;1706506;Darcinópolis;TO;2021;6250;Original;111;58;52.25225225225225;2021
170700;1707009;Dianópolis;TO;2021;22704;Original;299;152;50.836120401337794;2021
170710;1707108;Divinópolis do Tocantins;TO;2021;6986;Original;105;49;46.666666666666664;2021
170720;1707207;Dois Irmãos do Tocantins;TO;2021;7173;Original;66;31;46.96969696969697;2021
170730;1707306;Dueré;TO;2021;4686;Original;57;31;54.385964912280706;2021
170740;1707405;Esperantina;TO;2021;11280;Original;139;52;37.410071942446045;2021
170755;1707553;Fátima;TO;2021;3824;Original;49;25;51.02040816326531;2021
170765;1707652;Figueirópolis;TO;2021;5222;Original;61;41;67.21311475409836;2021
170770;1707702;Filadélfia;TO;2021;8892;Original;94;47;50.0;2021
170820;1708205;Formoso do Araguaia;TO;2021;18358;Original;298;174;58.38926174496645;2021
170825;1708254;Tabocão;TO;2021;2615;Original;57;41;71.9298245614035;2021
170830;1708304;Goianorte;TO;2021;5136;Original;61;45;73.77049180327869;2021
170900;1709005;Goiatins;TO;2021;13169;Original;208;81;38.94230769230769;2021
170930;1709302;Guaraí;TO;2021;26403;Original;364;269;73.9010989010989;2021
170950;1709500;Gurupi;TO;2021;88428;Original;1263;948;75.05938242280284;2021
170980;1709807;Ipueiras;TO;2021;2088;Original;25;17;68.0;2021
171050;1710508;Itacajá;TO;2021;7471;Original;127;60;47.24409448818898;2021
171070;1710706;Itaguatins;TO;2021;5801;Original;66;30;45.45454545454545;2021
171090;1710904;Itapiratins;TO;2021;3814;Original;55;36;65.45454545454545;2021
171110;1711100;Itaporã do Tocantins;TO;2021;2412;Original;38;33;86.8421052631579;2021
171150;1711506;Jaú do Tocantins;TO;2021;3906;Original;29;20;68.96551724137932;2021
171180;1711803;Juarina;TO;2021;2174;Original;37;25;67.56756756756756;2021
171190;1711902;Lagoa da Confusão;TO;2021;13989;Original;289;162;56.05536332179931;2021
171195;1711951;Lagoa do Tocantins;TO;2021;4470;Original;63;25;39.682539682539684;2021
171200;1712009;Lajeado;TO;2021;3199;Original;58;32;55.172413793103445;2021
171215;1712157;Lavandeira;TO;2021;1984;Original;18;9;50.0;2021
171240;1712405;Lizarda;TO;2021;3727;Original;53;21;39.62264150943396;2021
171245;1712454;Luzinópolis;TO;2021;3200;Original;45;25;55.55555555555556;2021
171250;1712504;Marianópolis do Tocantins;TO;2021;5332;Original;65;30;46.15384615384615;2021
171270;1712702;Mateiros;TO;2021;2773;Original;40;20;50.0;2021
171280;1712801;Maurilândia do Tocantins;TO;2021;3470;Original;36;13;36.11111111111111;2021
171320;1713205;Miracema do Tocantins;TO;2021;17628;Original;295;175;59.32203389830508;2021
171330;1713304;Miranorte;TO;2021;13551;Original;175;88;50.28571428571429;2021
171360;1713601;Monte do Carmo;TO;2021;8182;Original;86;37;43.02325581395349;2021
171370;1713700;Monte Santo do Tocantins;TO;2021;2311;Original;28;16;57.14285714285714;2021
171380;1713809;Palmeiras do Tocantins;TO;2021;6830;Original;72;37;51.388888888888886;2021
171395;1713957;Muricilândia;TO;2021;3623;Original;55;25;45.45454545454545;2021
171420;1714203;Natividade;TO;2021;9256;Original;103;49;47.57281553398058;2021
171430;1714302;Nazaré;TO;2021;3772;Original;62;43;69.35483870967742;2021
171488;1714880;Nova Olinda;TO;2021;12014;Original;162;88;54.32098765432099;2021
171500;1715002;Nova Rosalândia;TO;2021;4348;Original;48;27;56.25;2021
171510;1715101;Novo Acordo;TO;2021;4450;Original;62;31;50.0;2021
171515;1715150;Novo Alegre;TO;2021;2332;Original;23;11;47.82608695652174;2021
171525;1715259;Novo Jardim;TO;2021;2768;Original;43;20;46.51162790697674;2021
171550;1715507;Oliveira de Fátima;TO;2021;1124;Original;16;4;25.0;2021
171570;1715705;Palmeirante;TO;2021;6234;Original;50;28;56.00000000000001;2021
171575;1715754;Palmeirópolis;TO;2021;7694;Original;85;53;62.35294117647059;2021
171610;1716109;Paraíso do Tocantins;TO;2021;52521;Original;795;434;54.59119496855346;2021
171620;1716208;Paranã;TO;2021;10426;Original;162;81;50.0;2021
171630;1716307;Pau D'Arco;TO;2021;4885;Original;66;33;50.0;2021
171650;1716505;Pedro Afonso;TO;2021;13964;Original;220;155;70.45454545454545;2021
171660;1716604;Peixe;TO;2021;11996;Original;130;69;53.07692307692308;2021
171665;1716653;Pequizeiro;TO;2021;5546;Original;68;52;76.47058823529412;2021
171670;1716703;Colméia;TO;2021;8078;Original;124;97;78.2258064516129;2021
171700;1717008;Pindorama do Tocantins;TO;2021;4414;Original;44;26;59.09090909090909;2021
171720;1717206;Piraquê;TO;2021;3038;Original;37;17;45.94594594594595;2021
171750;1717503;Pium;TO;2021;7830;Original;82;38;46.34146341463415;2021
171780;1717800;Ponte Alta do Bom Jesus;TO;2021;4586;Original;34;14;41.17647058823529;2021
171790;1717909;Ponte Alta do Tocantins;TO;2021;8192;Original;119;48;40.33613445378151;2021
171800;1718006;Porto Alegre do Tocantins;TO;2021;3200;Original;48;25;52.083333333333336;2021
171820;1718204;Porto Nacional;TO;2021;53618;Original;1115;647;58.02690582959641;2021
171830;1718303;Praia Norte;TO;2021;8563;Original;99;44;44.44444444444444;2021
171840;1718402;Presidente Kennedy;TO;2021;3668;Original;44;27;61.36363636363637;2021
171845;1718451;Pugmil;TO;2021;2746;Original;31;20;64.51612903225806;2021
171850;1718501;Recursolândia;TO;2021;4389;Original;60;31;51.66666666666667;2021
