cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;total_nascimentos;maes_adolescentes;PROP_MAE_ADOL;ANO
170025;1700251;Abreulândia;TO;2021;2609;Original;30;11;36.666666666666664;2021
170030;1700301;Aguiarnópolis;TO;2021;7049;Original;91;28;30.76923076923077;2021
170035;1700350;Aliança do Tocantins;TO;2021;5303;Original;67;18;26.865671641791046;2021
170040;1700400;Almas;TO;2021;6905;Original;123;32;26.01626016260163;2021
170070;1700707;Alvorada;TO;2021;8381;Original;133;28;21.052631578947366;2021
170100;1701002;Ananás;TO;2021;9435;Original;156;31;19.871794871794872;2021
170105;1701051;Angico;TO;2021;3475;Original;33;6;18.181818181818183;2021
170110;1701101;Aparecida do Rio Negro;TO;2021;4901;Original;72;19;26.38888888888889;2021
170130;1701309;Aragominas;TO;2021;5705;Original;64;12;18.75;2021
170190;1701903;Araguacema;TO;2021;7223;Original;93;27;29.03225806451613;2021
170200;1702000;Araguaçu;TO;2021;8418;Original;94;25;26.595744680851062;2021
170210;1702109;Araguaína;TO;2021;186245;Original;3050;408;13.377049180327868;2021
170215;1702158;Araguanã;TO;2021;5856;Original;64;14;21.875;2021
170220;1702208;Araguatins;TO;2021;36573;Original;459;105;22.875816993464053;2021
170230;1702307;Arapoema;TO;2021;6590;Original;92;13;14.130434782608695;2021
170240;1702406;Arraias;TO;2021;10502;Original;137;32;23.357664233576642;2021
170255;1702554;Augustinópolis;TO;2021;18870;Original;300;72;24.0;2021
170270;1702703;Aurora do Tocantins;TO;2021;3809;Original;29;11;37.93103448275862;2021
170290;1702901;Axixá do Tocantins;TO;2021;9817;Original;198;48;24.242424242424242;2021
170300;1703008;Babaçulândia;TO;2021;10668;Original;92;16;17.391304347826086;2021
170305;1703057;Bandeirantes do Tocantins;TO;2021;3631;Original;57;14;24.561403508771928;2021
170307;1703073;Barra do Ouro;TO;2021;4673;Original;94;31;32.97872340425532;2021
170310;1703107;Barrolândia;TO;2021;5669;Original;61;16;26.229508196721312;2021
170320;1703206;Bernardo Sayão;TO;2021;4439;Original;51;8;15.686274509803921;2021
170330;1703305;Bom Jesus do Tocantins;TO;2021;5120;Original;73;25;34.24657534246575;2021
170360;1703602;Brasilândia do Tocantins;TO;2021;2221;Original;30;10;33.33333333333333;2021
170370;1703701;Brejinho de Nazaré;TO;2021;5540;Original;60;13;21.666666666666668;2021
170380;1703800;Buriti do Tocantins;TO;2021;11644;Original;146;35;23.972602739726025;2021
170382;1703826;Cachoeirinha;TO;2021;2293;Original;33;6;18.181818181818183;2021
170384;1703842;Campos Lindos;TO;2021;10505;Original;170;53;31.176470588235293;2021
170386;1703867;Cariri do Tocantins;TO;2021;4499;Original;54;10;18.51851851851852;2021
170388;1703883;Carmolândia;TO;2021;2627;Original;36;8;22.22222222222222;2021
170389;1703891;Carrasco Bonito;TO;2021;4165;Original;55;16;29.09090909090909;2021
170390;1703909;Caseara;TO;2021;5514;Original;85;29;34.11764705882353;2021
170410;1704105;Centenário;TO;2021;2966;Original;25;5;20.0;2021
170460;1704600;Chapada de Areia;TO;2021;1415;Original;13;0;0.0;2021
170510;1705102;Chapada da Natividade;TO;2021;3330;Original;50;7;14.000000000000002;2021
170550;1705508;Colinas do Tocantins;TO;2021;36271;Original;591;99;16.751269035532996;2021
170555;1705557;Combinado;TO;2021;4870;Original;54;9;16.666666666666664;2021
170560;1705607;Conceição do Tocantins;TO;2021;4070;Original;58;10;17.24137931034483;2021
170600;1706001;Couto Magalhães;TO;2021;5690;Original;79;23;29.11392405063291;2021
170610;1706100;Cristalândia;TO;2021;7268;Original;76;14;18.421052631578945;2021
170625;1706258;Crixás do Tocantins;TO;2021;1749;Original;17;1;5.88235294117647;2021
170650;1706506;Darcinópolis;TO;2021;6250;Original;111;35;31.53153153153153;2021
170700;1707009;Dianópolis;TO;2021;22704;Original;299;57;19.063545150501675;2021
170710;1707108;Divinópolis do Tocantins;TO;2021;6986;Original;105;25;23.809523809523807;2021
170720;1707207;Dois Irmãos do Tocantins;TO;2021;7173;Original;66;22;33.33333333333333;2021
170730;1707306;Dueré;TO;2021;4686;Original;57;18;31.57894736842105;2021
170740;1707405;Esperantina;TO;2021;11280;Original;139;34;24.46043165467626;2021
170755;1707553;Fátima;TO;2021;3824;Original;49;14;28.57142857142857;2021
170765;1707652;Figueirópolis;TO;2021;5222;Original;61;15;24.59016393442623;2021
170770;1707702;Filadélfia;TO;2021;8892;Original;94;22;23.404255319148938;2021
170820;1708205;Formoso do Araguaia;TO;2021;18358;Original;298;69;23.154362416107382;2021
170825;1708254;Tabocão;TO;2021;2615;Original;57;19;33.33333333333333;2021
170830;1708304;Goianorte;TO;2021;5136;Original;61;13;21.311475409836063;2021
170900;1709005;Goiatins;TO;2021;13169;Original;208;68;32.69230769230769;2021
170930;1709302;Guaraí;TO;2021;26403;Original;364;80;21.978021978021978;2021
170950;1709500;Gurupi;TO;2021;88428;Original;1263;180;14.251781472684085;2021
170980;1709807;Ipueiras;TO;2021;2088;Original;25;6;24.0;2021
171050;1710508;Itacajá;TO;2021;7471;Original;127;50;39.37007874015748;2021
171070;1710706;Itaguatins;TO;2021;5801;Original;66;11;16.666666666666664;2021
171090;1710904;Itapiratins;TO;2021;3814;Original;55;10;18.181818181818183;2021
171110;1711100;Itaporã do Tocantins;TO;2021;2412;Original;38;4;10.526315789473683;2021
171150;1711506;Jaú do Tocantins;TO;2021;3906;Original;29;5;17.24137931034483;2021
171180;1711803;Juarina;TO;2021;2174;Original;37;8;21.62162162162162;2021
171190;1711902;Lagoa da Confusão;TO;2021;13989;Original;289;77;26.643598615916954;2021
