cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;n_equipes_esf;TAXA_EQUIPES_ESF;MES
170025;1700251;Abreulândia;TO;2024;2668;Original;12;44.97751124437781;0
170030;1700301;Aguiarnópolis;TO;2024;4537;Original;24;52.89839100727353;0
170035;1700350;Aliança do Tocantins;TO;2024;5222;Original;24;45.95940252776714;0
170040;1700400;Almas;TO;2024;6542;Original;36;55.02904310608377;0
170070;1700707;Alvorada;TO;2024;9094;Original;48;52.78205410160545;0
170100;1701002;Ananás;TO;2024;10662;Original;60;56.27462014631401;0
170105;1701051;Angico;TO;2024;2918;Original;24;82.2481151473612;0
170110;1701101;Aparecida do Rio Negro;TO;2024;5067;Original;24;47.36530491415038;0
170130;1701309;Aragominas;TO;2024;5360;Original;36;67.16417910447761;0
170190;1701903;Araguacema;TO;2024;6039;Original;36;59.61251862891207;0
170200;1702000;Araguaçu;TO;2024;8273;Original;48;58.02006527257343;0
170210;1702109;Araguaína;TO;2024;181493;Original;708;39.009768971806075;0
170215;1702158;Araguanã;TO;2024;4338;Original;24;55.325034578146614;0
170220;1702208;Araguatins;TO;2024;33205;Original;204;61.436530642975455;0
170230;1702307;Arapoema;TO;2024;5553;Original;36;64.82982171799027;0
170240;1702406;Arraias;TO;2024;10522;Original;48;45.61870366850408;0
170255;1702554;Augustinópolis;TO;2024;18128;Original;72;39.717563989408646;0
170270;1702703;Aurora do Tocantins;TO;2024;3420;Original;24;70.17543859649123;0
170290;1702901;Axixá do Tocantins;TO;2024;10663;Original;60;56.269342586514114;0
170300;1703008;Babaçulândia;TO;2024;7779;Original;48;61.70458927882761;0
170305;1703057;Bandeirantes do Tocantins;TO;2024;3534;Original;24;67.91171477079796;0
170307;1703073;Barra do Ouro;TO;2024;4641;Original;24;51.71299288946348;0
170310;1703107;Barrolândia;TO;2024;4915;Original;36;73.24516785350966;0
170320;1703206;Bernardo Sayão;TO;2024;4316;Original;24;55.60704355885079;0
170330;1703305;Bom Jesus do Tocantins;TO;2024;4181;Original;36;86.10380291796221;0
170360;1703602;Brasilândia do Tocantins;TO;2024;2016;Original;12;59.52380952380952;0
170370;1703701;Brejinho de Nazaré;TO;2024;4796;Original;36;75.0625521267723;0
170380;1703800;Buriti do Tocantins;TO;2024;10654;Original;72;67.5802515487141;0
170382;1703826;Cachoeirinha;TO;2024;1991;Original;12;60.271220492214965;0
170384;1703842;Campos Lindos;TO;2024;8951;Original;36;40.2189699474919;0
170386;1703867;Cariri do Tocantins;TO;2024;4147;Original;24;57.87316132143719;0
170388;1703883;Carmolândia;TO;2024;2246;Original;12;53.42831700801425;0
170389;1703891;Carrasco Bonito;TO;2024;3362;Original;24;71.38607971445568;0
170390;1703909;Caseara;TO;2024;5009;Original;36;71.87063286085046;0
170410;1704105;Centenário;TO;2024;2135;Original;12;56.20608899297424;0
170460;1704600;Chapada de Areia;TO;2024;1563;Original;12;76.77543186180422;0
170510;1705102;Chapada da Natividade;TO;2024;3182;Original;24;75.4242614707731;0
170550;1705508;Colinas do Tocantins;TO;2024;35957;Original;204;56.73443279472704;0
170555;1705557;Combinado;TO;2024;4896;Original;24;49.01960784313725;0
170560;1705607;Conceição do Tocantins;TO;2024;3956;Original;24;60.66734074823054;0
170600;1706001;Couto Magalhães;TO;2024;5515;Original;24;43.51767905711695;0
170610;1706100;Cristalândia;TO;2024;6437;Original;48;74.56889855522759;0
170625;1706258;Crixás do Tocantins;TO;2024;1499;Original;12;80.0533689126084;0
170650;1706506;Darcinópolis;TO;2024;6054;Original;36;59.46481665014866;0
170700;1707009;Dianópolis;TO;2024;18031;Original;84;46.58643447396151;0
170710;1707108;Divinópolis do Tocantins;TO;2024;7297;Original;36;49.335343291763735;0
170720;1707207;Dois Irmãos do Tocantins;TO;2024;6395;Original;48;75.05863956215794;0
170730;1707306;Dueré;TO;2024;4321;Original;24;55.542698449433;0
170740;1707405;Esperantina;TO;2024;7493;Original;60;80.07473642065928;0
170755;1707553;Fátima;TO;2024;3520;Original;24;68.18181818181817;0
170765;1707652;Figueirópolis;TO;2024;5336;Original;24;44.97751124437781;0
170770;1707702;Filadélfia;TO;2024;7823;Original;48;61.357535472325196;0
