"CO_MUNICIP";"CO_MUNICDV";"CO_STATUS";"CO_TIPO";"DS_NOME";"DS_NOMEPAD";"DS_OBSERV";"CO_REGIAO";"CO_UF";"CO_ALTER";"CO_ALTERDV";"IN_CAPITAL";"IN_AMAZLEG";"IN_SEMIAR";"IN_FRONTZN";"DT_INSTAL";"DT_EXTIN";"CO_SUCESS";"NU_ORDEM";"NU_ORDMAP";"NU_LATITUD";"NU_LONGIT";"NU_ALTITUD";"NU_AREA"
"000000";"0000000";"IGNOR";"IGNOR";"Ignorado ou exterior";"IGNORADO OU EXTERIOR";"Ignorado";",      ,000001-009999,999999";"00";",      ,000001-009999,999999";",       ,0000001-0099999,9999999";"N";"N";"N";"N";;;;"8";;;;;
"110000";"1100000";"IGNOR";"IGNOR";"Municipio Ignorado - Ro";"MUNICIPIO IGNORADO - RO";"Ignorado";"1";"11";",119999";",1199999";"N";"S";"N";"N";;;;"8";;;;;
"110001";"1100015";"ATIVO";"MUNIC";"Alta Floresta D'Oeste";"ALTA FLORESTA D'OESTE";;"1";"11";;;"N";"S";"N";"S";"1986";;;"1";;"-11,9355403047646";"-61,9998238962936";"350";"7066,702"
"110002";"1100023";"ATIVO";"MUNIC";"Ariquemes";"ARIQUEMES";;"1";"11";;;"N";"S";"N";"N";"1977";;;"1";;"-9,9084628665672";"-63,0332692780484";"142";"4426,558"
"110003";"1100031";"ATIVO";"MUNIC";"Cabixi";"CABIXI";;"1";"11";;;"N";"S";"N";"S";"1989";;;"1";;"-13,4997634596963";"-60,5443135812009";"230";"1314,355"
"110004";"1100049";"ATIVO";"MUNIC";"Cacoal";"CACOAL";;"1";"11";;;"N";"S";"N";"N";"1977";;;"1";;"-11,4338650286852";"-61,4429442118224";"200";"3792,638"
"110005";"1100056";"ATIVO";"MUNIC";"Cerejeiras";"CEREJEIRAS";;"1";"11";;;"N";"S";"N";"S";"1983";;;"1";;"-13,1950330320399";"-60,8184261646815";"277";"2783,305"
"110006";"1100064";"ATIVO";"MUNIC";"Colorado Do Oeste";"COLORADO DO OESTE";;"1";"11";;;"N";"S";"N";"S";"1981";;;"1";;"-13,1305638414553";"-60,5550674630789";"460";"1451,058"
"110007";"1100072";"ATIVO";"MUNIC";"Corumbiara";"CORUMBIARA";;"1";"11";;;"N";"S";"N";"S";"1993";;;"1";;"-12,9975202364834";"-60,9487011706614";"340";"3060,318"
"110008";"1100080";"ATIVO";"MUNIC";"Costa Marques";"COSTA MARQUES";;"1";"11";;;"N";"S";"N";"S";"1981";;;"1";;"-12,4360138777142";"-64,2316539391172";"140";"12722,168"
