cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;ano;populacao;tipo;obitos_infantis;nascidos_vivos;TMI;ANO
170025;1700251;Abreulândia;TO;2021;2609;Original;0;30;0.0;2021
170030;1700301;Aguiarnópolis;TO;2021;7049;Original;1;91;10.989010989010989;2021
170035;1700350;Aliança do Tocantins;TO;2021;5303;Original;1;67;14.925373134328359;2021
170040;1700400;Almas;TO;2021;6905;Original;2;123;16.260162601626018;2021
170070;1700707;Alvorada;TO;2021;8381;Original;2;133;15.037593984962406;2021
170100;1701002;Ananás;TO;2021;9435;Original;1;156;6.41025641025641;2021
170105;1701051;Angico;TO;2021;3475;Original;0;33;0.0;2021
170110;1701101;Aparecida do Rio Negro;TO;2021;4901;Original;2;72;27.777777777777775;2021
170130;1701309;Aragominas;TO;2021;5705;Original;0;64;0.0;2021
170190;1701903;Araguacema;TO;2021;7223;Original;2;93;21.505376344086024;2021
170200;1702000;Araguaçu;TO;2021;8418;Original;0;94;0.0;2021
170210;1702109;Araguaína;TO;2021;186245;Original;41;3050;13.442622950819672;2021
170215;1702158;Araguanã;TO;2021;5856;Original;0;64;0.0;2021
170220;1702208;Araguatins;TO;2021;36573;Original;3;459;6.5359477124183005;2021
170230;1702307;Arapoema;TO;2021;6590;Original;1;92;10.869565217391305;2021
170240;1702406;Arraias;TO;2021;10502;Original;4;137;29.197080291970803;2021
170255;1702554;Augustinópolis;TO;2021;18870;Original;3;300;10.0;2021
170270;1702703;Aurora do Tocantins;TO;2021;3809;Original;0;29;0.0;2021
170290;1702901;Axixá do Tocantins;TO;2021;9817;Original;2;198;10.101010101010102;2021
170300;1703008;Babaçulândia;TO;2021;10668;Original;2;92;21.73913043478261;2021
170305;1703057;Bandeirantes do Tocantins;TO;2021;3631;Original;1;57;17.543859649122805;2021
170307;1703073;Barra do Ouro;TO;2021;4673;Original;1;94;10.638297872340425;2021
170310;1703107;Barrolândia;TO;2021;5669;Original;1;61;16.393442622950822;2021
170320;1703206;Bernardo Sayão;TO;2021;4439;Original;1;51;19.607843137254903;2021
170330;1703305;Bom Jesus do Tocantins;TO;2021;5120;Original;1;73;13.698630136986301;2021
170360;1703602;Brasilândia do Tocantins;TO;2021;2221;Original;1;30;33.333333333333336;2021
170370;1703701;Brejinho de Nazaré;TO;2021;5540;Original;0;60;0.0;2021
170380;1703800;Buriti do Tocantins;TO;2021;11644;Original;1;146;6.8493150684931505;2021
170382;1703826;Cachoeirinha;TO;2021;2293;Original;0;33;0.0;2021
170384;1703842;Campos Lindos;TO;2021;10505;Original;1;170;5.88235294117647;2021
170386;1703867;Cariri do Tocantins;TO;2021;4499;Original;0;54;0.0;2021
170388;1703883;Carmolândia;TO;2021;2627;Original;0;36;0.0;2021
170389;1703891;Carrasco Bonito;TO;2021;4165;Original;2;55;36.36363636363636;2021
170390;1703909;Caseara;TO;2021;5514;Original;1;85;11.76470588235294;2021
170410;1704105;Centenário;TO;2021;2966;Original;0;25;0.0;2021
170460;1704600;Chapada de Areia;TO;2021;1415;Original;0;13;0.0;2021
170510;1705102;Chapada da Natividade;TO;2021;3330;Original;1;50;20.0;2021
170550;1705508;Colinas do Tocantins;TO;2021;36271;Original;6;591;10.15228426395939;2021
170555;1705557;Combinado;TO;2021;4870;Original;2;54;37.03703703703704;2021
170560;1705607;Conceição do Tocantins;TO;2021;4070;Original;1;58;17.241379310344826;2021
170600;1706001;Couto Magalhães;TO;2021;5690;Original;0;79;0.0;2021
170610;1706100;Cristalândia;TO;2021;7268;Original;2;76;26.31578947368421;2021
170625;1706258;Crixás do Tocantins;TO;2021;1749;Original;0;17;0.0;2021
170650;1706506;Darcinópolis;TO;2021;6250;Original;1;111;9.00900900900901;2021
170700;1707009;Dianópolis;TO;2021;22704;Original;4;299;13.377926421404682;2021
170710;1707108;Divinópolis do Tocantins;TO;2021;6986;Original;1;105;9.523809523809526;2021
170720;1707207;Dois Irmãos do Tocantins;TO;2021;7173;Original;0;66;0.0;2021
170730;1707306;Dueré;TO;2021;4686;Original;0;57;0.0;2021
170740;1707405;Esperantina;TO;2021;11280;Original;0;139;0.0;2021
170755;1707553;Fátima;TO;2021;3824;Original;2;49;40.816326530612244;2021
170765;1707652;Figueirópolis;TO;2021;5222;Original;3;61;49.18032786885246;2021
170770;1707702;Filadélfia;TO;2021;8892;Original;0;94;0.0;2021
170820;1708205;Formoso do Araguaia;TO;2021;18358;Original;2;298;6.7114093959731544;2021
170825;1708254;Tabocão;TO;2021;2615;Original;2;57;35.08771929824561;2021
170830;1708304;Goianorte;TO;2021;5136;Original;0;61;0.0;2021
170900;1709005;Goiatins;TO;2021;13169;Original;4;208;19.230769230769234;2021
170930;1709302;Guaraí;TO;2021;26403;Original;3;364;8.241758241758243;2021
170950;1709500;Gurupi;TO;2021;88428;Original;15;1263;11.876484560570072;2021
170980;1709807;Ipueiras;TO;2021;2088;Original;1;25;40.0;2021
171050;1710508;Itacajá;TO;2021;7471;Original;4;127;31.496062992125985;2021
171070;1710706;Itaguatins;TO;2021;5801;Original;1;66;15.151515151515152;2021
171090;1710904;Itapiratins;TO;2021;3814;Original;0;55;0.0;2021
171110;1711100;Itaporã do Tocantins;TO;2021;2412;Original;0;38;0.0;2021
171150;1711506;Jaú do Tocantins;TO;2021;3906;Original;1;29;34.48275862068965;2021
171180;1711803;Juarina;TO;2021;2174;Original;1;37;27.027027027027028;2021
171190;1711902;Lagoa da Confusão;TO;2021;13989;Original;4;289;13.84083044982699;2021
171195;1711951;Lagoa do Tocantins;TO;2021;4470;Original;0;63;0.0;2021
171200;1712009;Lajeado;TO;2021;3199;Original;0;58;0.0;2021
171215;1712157;Lavandeira;TO;2021;1984;Original;1;18;55.55555555555555;2021
171240;1712405;Lizarda;TO;2021;3727;Original;0;53;0.0;2021
171245;1712454;Luzinópolis;TO;2021;3200;Original;2;45;44.44444444444444;2021
171250;1712504;Marianópolis do Tocantins;TO;2021;5332;Original;3;65;46.15384615384615;2021
171270;1712702;Mateiros;TO;2021;2773;Original;2;40;50.0;2021
171280;1712801;Maurilândia do Tocantins;TO;2021;3470;Original;3;36;83.33333333333333;2021
171320;1713205;Miracema do Tocantins;TO;2021;17628;Original;6;295;20.338983050847457;2021
171330;1713304;Miranorte;TO;2021;13551;Original;3;175;17.142857142857142;2021
171360;1713601;Monte do Carmo;TO;2021;8182;Original;1;86;11.627906976744185;2021
171370;1713700;Monte Santo do Tocantins;TO;2021;2311;Original;0;28;0.0;2021
171380;1713809;Palmeiras do Tocantins;TO;2021;6830;Original;0;72;0.0;2021
171395;1713957;Muricilândia;TO;2021;3623;Original;2;55;36.36363636363636;2021
171420;1714203;Natividade;TO;2021;9256;Original;3;103;29.12621359223301;2021
171430;1714302;Nazaré;TO;2021;3772;Original;1;62;16.129032258064516;2021
171488;1714880;Nova Olinda;TO;2021;12014;Original;0;162;0.0;2021
171500;1715002;Nova Rosalândia;TO;2021;4348;Original;0;48;0.0;2021
171510;1715101;Novo Acordo;TO;2021;4450;Original;0;62;0.0;2021
171515;1715150;Novo Alegre;TO;2021;2332;Original;0;23;0.0;2021
171525;1715259;Novo Jardim;TO;2021;2768;Original;0;43;0.0;2021
171550;1715507;Oliveira de Fátima;TO;2021;1124;Original;0;16;0.0;2021
171570;1715705;Palmeirante;TO;2021;6234;Original;0;50;0.0;2021
171575;1715754;Palmeirópolis;TO;2021;7694;Original;1;85;11.76470588235294;2021
171610;1716109;Paraíso do Tocantins;TO;2021;52521;Original;14;795;17.61006289308176;2021
171620;1716208;Paranã;TO;2021;10426;Original;3;162;18.51851851851852;2021
171630;1716307;Pau D'Arco;TO;2021;4885;Original;1;66;15.151515151515152;2021
171650;1716505;Pedro Afonso;TO;2021;13964;Original;3;220;13.636363636363635;2021
171660;1716604;Peixe;TO;2021;11996;Original;0;130;0.0;2021
171665;1716653;Pequizeiro;TO;2021;5546;Original;1;68;14.705882352941176;2021
171670;1716703;Colméia;TO;2021;8078;Original;1;124;8.064516129032258;2021
171700;1717008;Pindorama do Tocantins;TO;2021;4414;Original;0;44;0.0;2021
171720;1717206;Piraquê;TO;2021;3038;Original;0;37;0.0;2021
171750;1717503;Pium;TO;2021;7830;Original;1;82;12.195121951219512;2021
171780;1717800;Ponte Alta do Bom Jesus;TO;2021;4586;Original;0;34;0.0;2021
171790;1717909;Ponte Alta do Tocantins;TO;2021;8192;Original;1;119;8.403361344537815;2021
171800;1718006;Porto Alegre do Tocantins;TO;2021;3200;Original;0;48;0.0;2021
171820;1718204;Porto Nacional;TO;2021;53618;Original;16;1115;14.349775784753364;2021
171830;1718303;Praia Norte;TO;2021;8563;Original;0;99;0.0;2021
171840;1718402;Presidente Kennedy;TO;2021;3668;Original;0;44;0.0;2021
171845;1718451;Pugmil;TO;2021;2746;Original;0;31;0.0;2021
171850;1718501;Recursolândia;TO;2021;4389;Original;0;60;0.0;2021
171855;1718550;Riachinho;TO;2021;4723;Original;1;66;15.151515151515152;2021
171865;1718659;Rio da Conceição;TO;2021;2211;Original;3;31;96.77419354838709;2021
171870;1718709;Rio dos Bois;TO;2021;2879;Original;1;40;25.0;2021
171875;1718758;Rio Sono;TO;2021;6498;Original;1;67;14.925373134328359;2021
171880;1718808;Sampaio;TO;2021;4876;Original;1;88;11.363636363636363;2021
171884;1718840;Sandolândia;TO;2021;3371;Original;0;44;0.0;2021
171886;1718865;Santa Fé do Araguaia;TO;2021;7678;Original;0;114;0.0;2021
171888;1718881;Santa Maria do Tocantins;TO;2021;3537;Original;0;39;0.0;2021
171889;1718899;Santa Rita do Tocantins;TO;2021;2407;Original;0;30;0.0;2021
171890;1718907;Santa Rosa do Tocantins;TO;2021;4864;Original;0;89;0.0;2021
171900;1719004;Santa Tereza do Tocantins;TO;2021;2928;Original;2;53;37.73584905660377;2021
172000;1720002;Santa Terezinha do Tocantins;TO;2021;2530;Original;1;28;35.714285714285715;2021
172010;1720101;São Bento do Tocantins;TO;2021;5457;Original;2;79;25.31645569620253;2021
172015;1720150;São Félix do Tocantins;TO;2021;1610;Original;0;21;0.0;2021
172020;1720200;São Miguel do Tocantins;TO;2021;12445;Original;1;155;6.451612903225806;2021
172025;1720259;São Salvador do Tocantins;TO;2021;3106;Original;0;26;0.0;2021
172030;1720309;São Sebastião do Tocantins;TO;2021;4898;Original;1;56;17.857142857142858;2021
172049;1720499;São Valério;TO;2021;3848;Original;0;40;0.0;2021
172065;1720655;Silvanópolis;TO;2021;5452;Original;0;63;0.0;2021
172080;1720804;Sítio Novo do Tocantins;TO;2021;8965;Original;0;135;0.0;2021
172085;1720853;Sucupira;TO;2021;2007;Original;0;19;0.0;2021
172090;1720903;Taguatinga;TO;2021;16966;Original;0;173;0.0;2021
172093;1720937;Taipas do Tocantins;TO;2021;2183;Original;0;33;0.0;2021
172097;1720978;Talismã;TO;2021;2831;Original;1;33;30.303030303030305;2021
172100;1721000;Palmas;TO;2021;313349;Original;67;4941;13.560008095527222;2021
172110;1721109;Tocantínia;TO;2021;7688;Original;2;189;10.582010582010582;2021
172120;1721208;Tocantinópolis;TO;2021;22820;Original;4;445;8.98876404494382;2021
172125;1721257;Tupirama;TO;2021;1952;Original;0;34;0.0;2021
172130;1721307;Tupiratins;TO;2021;2785;Original;0;33;0.0;2021
172208;1722081;Wanderlândia;TO;2021;11783;Original;0;145;0.0;2021
172210;1722107;Xambioá;TO;2021;11500;Original;3;174;17.241379310344826;2021
170025;1700251;Abreulândia;TO;2022;2626;Estimativa (Spline);1;34;29.41176470588235;2022
170030;1700301;Aguiarnópolis;TO;2022;6938;Estimativa (Spline);0;77;0.0;2022
170035;1700350;Aliança do Tocantins;TO;2022;5267;Estimativa (Spline);2;57;35.08771929824561;2022
170040;1700400;Almas;TO;2022;6823;Estimativa (Spline);0;98;0.0;2022
